job_id,date_posted,job_description,job_title,job_location,max_salary,joB_category,country
5062231381,2025-02-24T16:53:14Z,"We are seeking a pragmatic, detail oriented and experienced Lead Enterprise Data Architect to join our growing Data & Intelligence practice. The ideal person for this role will have expertise gained from working in one or many industries and will be responsible for the development of conceptual and logical data models, defining architectural frameworks as well as defining high level operating models and governance frameworks for managing the Data Architecture. You will also love to collaborate …",Lead Data Architect,"London, UK",70444.37,Data Engineer,UK
5062231281,2025-02-24T16:53:01Z,"NTT DATA are looking for a Lead Data Solutions Architect to work within a dynamic, remote-first data architectural capability to deliver cloud based data solutions using best-in-class RDBMS, ETL/ELT, and Cloud platforms for blue-chip customers across a range of sectors. You will lead cross-functional teams of Data Engineers, Architects, Business Analysts and Quality Assurance Analysts to provision data processing, storage, and visualisation capabilities in an Agile environment. You will be comf…",Data Solution Architect,"London, UK",76840.92,Data Engineer,UK
5062231085,2025-02-24T16:52:30Z,"We are seeking an experienced and visionary Head of Data Engineering to lead our dynamic Data Engineering Team. The successful candidate will oversee a team of approximately 40 Data Engineers, ensuring the delivery of high-quality data solutions and driving the strategic direction of our Data Engineering efforts. Key Responsibilities: • Lead and manage a team of 40 Data Engineers, providing mentorship, guidance, and career development. • Develop and implement data engineering strategies that al…",Head of Data Engineering,"London, UK",72584.44,Data Engineer,UK
5062231061,2025-02-24T16:52:29Z,"We are seeking a highly skilled and experienced Senior Data Consultant to join our dynamic team. This role will focus on providing strategic data consulting and advisory services to our clients, helping them to develop and implement effective data strategies, governance frameworks, and operating models. The ideal candidate will have a strong background in data consulting, excellent communication skills, and the ability to lead and mentor junior team members. You will be expected to shape propos…",Senior Data Consultant,"London, UK",54880.65,Data Analyst,UK
5062231388,2025-02-24T16:53:14Z,"NTT DATA Business Solutions Group is part of the NTT DATA Corporate Group a top 10 global IT services provider, headquartered in Tokyo, operating in more than 50 countries. We combine a global reach with local intimacy to provide premier professional SAP services from deep industry expertise consulting to applied innovations in digital, cloud, automation, and system development to business IT outsourcing. As a global SAP Platinum Partner, NTT DATA Business Solutions Group leverages its global e…",Data Solution Architect,"London, UK",91672.5,Data Engineer,UK
5062231383,2025-02-24T16:53:14Z,"NTT DATA Business Solutions Group is part of the NTT DATA Corporate Group a top 10 global IT services provider, headquartered in Tokyo, operating in more than 50 countries. We combine a global reach with local intimacy to provide premier professional SAP services from deep industry expertise consulting to applied innovations in digital, cloud, automation, and system development to business IT outsourcing. As a global SAP Platinum Partner, NTT DATA Business Solutions Group leverages its global e…",Data Solution Architect,"Coventry, West Midlands",88047.4,Data Engineer,UK
5062231386,2025-02-24T16:53:14Z,"NTT DATA Business Solutions Group is part of the NTT DATA Corporate Group a top 10 global IT services provider, headquartered in Tokyo, operating in more than 50 countries. We combine a global reach with local intimacy to provide premier professional SAP services from deep industry expertise consulting to applied innovations in digital, cloud, automation, and system development to business IT outsourcing. As a global SAP Platinum Partner, NTT DATA Business Solutions Group leverages its global e…",Data Solution Architect,UK,72860.19,Data Engineer,UK
5062231089,2025-02-24T16:52:30Z,"We are seeking a pragmatic, detail oriented and experienced Data Governance/ Management Business Consultant to join our growing Data & Intelligence practice. The ideal person for this role loves to collaborate with other data professionals, engineers, and business or operations experts to understand and address their data needs. We are seeking a consultant used to working on behalf of clients in fast paced and demanding environments. You will share a passion for Data, how it can be used to deve…",Senior Data Governance Consultant,"London, UK",50906.93,Analytics - Other,UK
5062231338,2025-02-24T16:53:13Z,"As part of our continuous growth, we are seeking a Salesforce Data Cloud Specialist to join our Salesforce Practice in London. This role will play a key part in driving data driven innovations, providing data-driven insights and enabling data-driven decision-making for our enterprise customers. What youll be doing: • Serve as the Subject Matter Expert (SME) for Salesforce Data Cloud within NTTDATA UK, offering expert guidance on platform capabilities, use cases, cost estimation, and best practi…",Salesforce Data Cloud Specialist,"London, UK",61005.81,Analytics - Other,UK
5062231216,2025-02-24T16:52:47Z,"As a key member of our team, reporting to a Data Team Manager, you will be responsible for participating in or leading one or more Data Migration Projects across various engagements, and work with pre-sales and delivery stakeholders to consult with customers in data management, tools, technologies, and processes. It’s mandatory that you will have previous Data Migration experience along with experience of SAP data migration across a range of technologies. The role will principally be based via …",Senior SAP Data Migration Consultant,UK,41312.82,Analytics - Other,UK
5062231277,2025-02-24T16:53:00Z,"As a key member of our team, reporting to a Data Team Manager, you will be responsible for participating in or leading one or more Data Migration Projects across various engagements, and work with pre-sales and delivery stakeholders to consult with customers in data management, tools, technologies, and processes. It’s mandatory that you will have previous Data Migration experience along with experience of SAP data migration across a range of technologies. The role will principally be based via …",Senior SAP Data Migration Consultant,"Coventry, West Midlands",49924.25,Analytics - Other,UK
5062231310,2025-02-24T16:53:02Z,"Youll be joining the 6th largest IT Service Provider, present in more than 70 countries. From our roots in Japan, NTT DATAs mission is to facilitate business change and technology transformation across many industries for a better future for our business, people and community. Some of the projects we have supported include the digitising of The Open golf tournament and applying Formula 1 technology to support medical staff at University Hospitals Leicester. Everything we do is underpinned by ou…",Business Analyst (Renewables),"Glasgow, Scotland",36147.92,Data Analyst,UK
5139962544,2025-04-11T04:28:16Z,"Data Engineer (Databricks & Azure) - Clean Energy Location: South East England (Hybrid - 1 day onsite per week) Salary: £60k - £70k  benefits package 18 months. That’s all the time it took for the client’s Databricks platform to evolve into a key driver of innovative green technologies. Now, they’re looking for someone to take it even further. Imagine joining a forward-thinking client at the forefront of clean energy innovation. Your work will directly contribute to a zero-carbon future by supp…",Data Engineer (Databricks & Azure) - Clean Energy,UK,62492.2,Data Engineer,UK
